,state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,fips
53,Alabama,1107,Pickens County,5594,4022,9668,1572,0.5786098469176665,0.4160115846090194,0.162598262308647,01107
54,Alabama,1109,Pike County,8042,5636,13841,2406,0.5810273824145654,0.4071960118488548,0.1738313705657105,01109
55,Alabama,1111,Randolph County,8559,2203,10837,6356,0.7897942234935867,0.2032850419857894,0.5865091815077973,01111
56,Alabama,1113,Russell County,9864,11228,21329,-1364,0.462468939003235,0.5264194289465047,-0.0639504899432696,01113
57,Alabama,1115,St. Clair County,36166,7744,44441,28422,0.8137980693503747,0.1742535046466101,0.6395445647037645,01115
58,Alabama,1117,Shelby County,79700,33268,114950,46432,0.6933449325793823,0.289412788168769,0.4039321444106133,01117
59,Alabama,1119,Sumter County,1598,4648,6291,-3050,0.2540136703226832,0.7388332538547131,-0.4848195835320299,01119
60,Alabama,1121,Talladega County,22235,13138,35663,9097,0.623475310545944,0.3683930123657572,0.2550822981801867,01121
61,Alabama,1123,Tallapoosa County,14963,5859,20991,9104,0.7128293077985803,0.2791196226954409,0.4337096851031394,01123
62,Alabama,1125,Tuscaloosa County,51117,37765,90172,13352,0.566883289712993,0.4188107172958346,0.1480725724171583,01125
63,Alabama,1127,Walker County,26002,4834,31170,21168,0.8341995508501765,0.1550850176451716,0.6791145332050048,01127
64,Alabama,1129,Washington County,6564,2258,8876,4306,0.7395223073456512,0.254393871113114,0.4851284362325371,01129
65,Alabama,1131,Wilcox County,1833,4048,5903,-2215,0.3105200745383703,0.6857530069456209,-0.3752329324072506,01131
66,Alabama,1133,Winston County,10195,974,11284,9221,0.903491669620702,0.086316908897554,0.8171747607231479,01133
67,Alaska,2901,District 1,3511,3477,7360,34,0.4770380434782608,0.4724184782608696,0.0046195652173912,02901
68,Alaska,2902,District 2,3674,2104,6161,1570,0.5963317643239734,0.3415030027592923,0.2548287615646811,02902
69,Alaska,2903,District 3,6076,1903,8385,4173,0.7246273106738224,0.2269528920691711,0.4976744186046512,02903
70,Alaska,2904,District 4,4690,5345,10587,-655,0.4429961273259658,0.5048644564088033,-0.0618683290828374,02904
71,Alaska,2905,District 5,4077,4204,8706,-127,0.4682977257064094,0.4828853664139674,-0.014587640707558,02905
72,Alaska,2906,District 6,5770,3272,9518,2498,0.6062197940743854,0.3437696995167051,0.2624500945576802,02906
73,Alaska,2907,District 7,7027,2215,9664,4812,0.7271316225165563,0.2292011589403973,0.4979304635761589,02907
74,Alaska,2908,District 8,7618,1953,9957,5665,0.7650898865120016,0.1961434166917746,0.568946469820227,02908
75,Alaska,2909,District 9,7787,2769,11047,5018,0.7048972571738934,0.25065628677469,0.4542409703992034,02909
76,Alaska,2910,District 10,8081,2727,11256,5354,0.7179282160625444,0.2422707889125799,0.4756574271499644,02910
77,Alaska,2911,District 11,7096,3130,10686,3966,0.6640464158712334,0.2929066067752199,0.3711398090960134,02911
78,Alaska,2912,District 12,7893,2957,11280,4936,0.6997340425531915,0.2621453900709219,0.4375886524822695,02912
79,Alaska,2913,District 13,4652,2666,7765,1986,0.5990985189954926,0.3433354797166774,0.2557630392788152,02913
80,Alaska,2914,District 14,6714,4261,11534,2453,0.5821050806311774,0.369429512744928,0.2126755678862493,02914
81,Alaska,2915,District 15,2671,2622,5593,49,0.4775612372608618,0.4688002860718755,0.0087609511889862,02915
82,Alaska,2916,District 16,3516,4274,8170,-758,0.4303549571603427,0.5231334149326805,-0.0927784577723377,02916
83,Alaska,2917,District 17,2810,4136,7271,-1326,0.3864667858616421,0.5688350983358548,-0.1823683124742126,02917
84,Alaska,2918,District 18,2760,4681,7759,-1921,0.3557159427761309,0.6032993942518365,-0.2475834514757056,02918
85,Alaska,2919,District 19,1975,3118,5338,-1143,0.3699887598351442,0.5841139003372049,-0.2141251405020606,02919
86,Alaska,2920,District 20,2383,4881,7544,-2498,0.3158801696712619,0.6470042417815483,-0.3311240721102863,02920
87,Alaska,2921,District 21,3690,5414,9482,-1724,0.3891584053997047,0.5709765872178865,-0.1818181818181817,02921
88,Alaska,2922,District 22,4684,4553,9597,131,0.4880691882880066,0.4744190892987392,0.0136500989892674,02922
89,Alaska,2923,District 23,3655,3810,7796,-155,0.4688301693175987,0.4887121600820934,-0.0198819907644946,02923
90,Alaska,2924,District 24,5378,4736,10484,642,0.5129721480351012,0.4517359786341091,0.061236169400992,02924
91,Alaska,2925,District 25,4407,4600,9369,-193,0.4703810438680755,0.4909808944391077,-0.0205998505710321,02925
92,Alaska,2926,District 26,5243,4558,20292,685,0.2583776857875025,0.2246205401143307,0.0337571456731717,02926
93,Alaska,2927,District 27,4324,4844,19037,-520,0.2271366286704838,0.2544518569102274,-0.0273152282397436,02927
94,Alaska,2928,District 28,6162,6264,25580,-102,0.2408913213448006,0.2448788115715402,-0.0039874902267396,02928
95,Alaska,2929,District 29,7464,2985,10784,4479,0.6921364985163204,0.2767989614243323,0.415337537091988,02929
